train,valid,test
0.11939999999999999,0.10059999999999998,0.11159999999999999
0.1398,0.0872,0.0912
0.167,0.103,0.108
0.19779999999999998,0.11139999999999999,0.1274
0.2048,0.1164,0.12539999999999998
0.2398,0.1279,0.13190000000000002
0.2731,0.14809999999999998,0.1631
0.2828,0.1499,0.1509
0.3024,0.15580000000000002,0.1718
0.32980000000000004,0.1603,0.14129999999999998
0.3322,0.1517,0.1637
0.3145,0.1394,0.15339999999999998
0.33039999999999997,0.1416,0.16160000000000002
0.3678,0.1952,0.2072
0.39280000000000004,0.20339999999999997,0.22139999999999999
0.3742,0.1939,0.2059
0.3876,0.2114,0.2244
0.3888,0.22139999999999999,0.2374
0.3922,0.22310000000000002,0.22710000000000002
0.4104,0.2419,0.2579
0.3986,0.2354,0.2444
0.4217,0.2506,0.2706
0.4293,0.2533,0.2563
0.4481,0.2797,0.2897
0.4643,0.2846,0.29660000000000003
0.4883,0.29660000000000003,0.30060000000000003
0.49890000000000007,0.3037,0.3227
0.5008999999999999,0.2989,0.3189
0.5123000000000001,0.3039,0.2919
0.5266000000000001,0.3103,0.3233
0.5339,0.3093,0.3243
0.5567000000000001,0.3204,0.3404
0.5676000000000001,0.3264,0.3174
0.5744,0.3351,0.35409999999999997
0.5954,0.3527,0.3607
0.5703,0.3383,0.3263
0.6223000000000001,0.3862,0.3882
0.6133000000000001,0.3766,0.3586
0.6249,0.3612,0.3762
0.6409,0.4042,0.4102
0.6434000000000001,0.4124,0.4194
0.6671,0.42560000000000003,0.4156
0.6623000000000001,0.4173,0.4103
0.6804000000000001,0.4416,0.4556
0.6623,0.4248,0.4058
0.6995000000000001,0.4723,0.4793
0.7044,0.4823,0.4863
0.7292000000000001,0.5005999999999999,0.5015999999999999
0.7404000000000001,0.5211000000000001,0.5291
0.7413000000000001,0.5214000000000001,0.5414000000000001
0.7347,0.5333000000000001,0.5383
0.7483000000000001,0.5529000000000001,0.5549000000000001
0.7323000000000001,0.5437000000000001,0.5427000000000001
0.7688,0.5872,0.6062000000000001
0.7886000000000001,0.5852,0.5862
0.7967000000000001,0.5894,0.6054
0.8142,0.6061000000000001,0.6251000000000001
0.8122,0.6093000000000001,0.6193000000000001
0.8182,0.6163000000000001,0.6363000000000001
0.8384,0.6399,0.6499
0.8451000000000001,0.6459,0.6309
0.8353,0.6374000000000001,0.6534000000000001
0.8574,0.6663000000000001,0.6803
0.8606,0.6723000000000001,0.6903
0.8544,0.6693,0.6753
0.8679000000000001,0.6833,0.6903
0.8636,0.6795000000000001,0.6595000000000001
0.8773000000000001,0.6914,0.6984
0.8534,0.6644,0.6724
0.8806,0.6884,0.6784000000000001
0.8683000000000001,0.6714,0.6724
0.8839,0.682,0.6900000000000001
0.8936000000000001,0.6874,0.6924
0.8635,0.6653,0.6873
